Lint_percentage Seed_index Lint_index Seed_oil_content
44 7.6 7.3 18.1
46.4 8 7.8 18.3
44.2 7.3 6.8 18.3
42.7 7.6 6.7 17.8
45.6 8.5 7.4 18.1
42.8 7.9 7.1 18.3
41.7 7.2 7 16.5
44.2 7.5 7.5 17.6
45.3 8 7.8 18
46.2 7.4 7.9 17.1
42.2 8.9 8.1 18.1
45.2 7.9 7.6 18
44.2 7.9 7.4 19.7
42.4 7.5 6.8 18.1
41.3 8.8 7.3 19.1
44.2 8.3 7.9 18.8
44.3 7.6 7.1 16.8
43.3 9.2 8.8 17.3
46.2 7.4 7.8 17.5
44.5 7 6.9 19.9
43.3 8.2 7.2 19.3
45.8 8.1 7.7 18.6
45.6 7.9 8.3 18.6
44.5 8.2 8 16.9
42 7.3 6.7 18.7
43.5 7.8 6.8 17.2
44.4 8 7.3 18.2
43 9.2 8.7 17.9
43 8 7.9 17.2
42.1 8 7.1 17.7
43.9 8.4 8.2 19.8
45.2 8.1 7.6 17.8
41 8.1 7.9 21.3
41.3 8.3 7.4 19.7
44.8 8 7.7 18.4
41.3 8 6.7 18.9
42.3 8 7.3 18.8
46 7.7 7.7 19.5
44.5 8.3 8.1 18.3
44.2 8.5 8.1 17.9
43.2 8.4 7.6 20.5
43.9 8.7 8.6 17.9
43.5 8.2 7.4 18.5
40 8.8 7.5 17.3
43.2 9.6 8.7 18.4
41.1 8.3 7.1 19
44.2 8.1 8 18.5
44.5 7.6 7.3 18.3
43.4 7.9 7.4 17.5
43.7 8.1 7.1 17.7
45.3 8.1 8 16.7
42.2 8.4 7.5 19.5
42.7 8.1 6.1 19
44 8.8 7.8 17.8
44.3 7.7 7.2 19.9
45 8.3 7.8 18
46.6 7.9 8.1 18.6
43.7 8.2 7.8 18
44.9 8.3 7.9 19.6
43.5 8.6 7.7 18.2
45.7 8.6 8.3 17.5
41.9 8.4 7.5 18.6
46.3 7.3 7.5 18.9
43.5 8.5 8.6 18.8
45.2 8.3 7.9 18.6
44.4 7.7 6.7 17.9
43.7 9.4 8.6 17.6
44.1 8.2 7 17.8
42.6 8.5 8.2 20.1
42.7 8.7 7.8 19
44.1 8.5 7.7 20
43.2 8.4 7.4 18.9
43.7 8.1 8.1 20.4
44 7.5 7.6 17.7
34 10.5 6.8 19.2
48 8.3 8.1 17.5
43.4 8.1 7.5 19.4
43.5 7.8 7.3 19.9
43.8 8 7.7 18.6
46.5 7.8 7.5 20.7
47.7 7.4 8.2 18
46.1 8.2 8.4 15.7
45.1 8.4 8.3 18.8
39.7 8.3 7 20.2
42.1 8.9 7.6 16.6
43.3 8.3 7.1 20.3
43.6 7.7 7.1 19
42.1 8.2 7.7 18.5
47 7.9 6.6 17.4
44 7.9 7.1 19.5
42.2 8 7 17.5
44.3 8.4 6.9 17
47.2 7.7 7.8 18.2
41 7.7 6.4 19.2
44.3 7.5 7.2 18.9
46.1 7.6 8.1 16.5
46.2 7.7 7.4 18
42.7 8.6 7.8 20.4
42.2 8.4 7.4 17.9
45.8 7.4 7.7 18.5
43.9 8.3 7.5 18.5
43.7 8.2 8.2 17.8
42.3 8.5 7.4 17.1
41 8.7 7.5 18.7
43.7 8.9 8.4 19.1
43.8 7.8 7 18.2
42.2 8.5 7.4 19.6
41.6 8.6 7.6 17.9
49.2 8 8.8 18.7
47.1 7.7 8.4 18.5
44.3 8 7.5 17.5
42 7.8 6.5 19.3
43.9 8 7.3 18.6
44.7 8.1 7.8 19.7
46 7.9 8.4 18
46.8 7.4 7.6 18.5
47.7 7 6.6 16.9
41 8.2 7.1 18.1
44.3 7.7 7.9 18.3
43.1 7.9 7 18.4
42.6 7.8 7.1 19.7
44 8 7.1 18.3
49.2 7.4 8.3 18.1
46.2 8.4 8.1 18.2
44.8 7.9 6.7 19
43.9 9.1 9 16.2
43.6 7.8 7.6 18
44 8.1 7.4 19.9
44.6 8.8 8.3 18.3
41.6 8.6 7.7 18.6
42.9 7.8 6.9 20.1
43.7 8 7.3 19.5
43.7 8.2 7.7 18.4
43.8 7.8 7.8 17
41.2 8.6 8 20.1
45.4 8.1 7.9 17.9
44.6 7.7 6.9 18.5
45.5 7.7 7.7 19.1
45.2 8.7 8.5 18.5
42.8 8.5 7.6 18.8
47.3 8.2 9.1 17.2
41.3 8.1 6.8 16.9
44.3 8.8 8.2 17.8
42.4 7.8 7.1 17.8
43.9 7.6 6.9 17.9
46.4 7.9 8 17.7
43.8 8.6 7.9 16.8
46.2 8 8.1 19.1
46.1 7.6 7.9 18.4
45.3 8.1 7.6 18.1
42 8.2 7.6 19.1
44 8.6 8.2 18.9
46.2 8.1 8.1 16.8
42.6 8.6 8 18.5
44 7.9 7.5 17.9
48.1 7.3 7.6 18.3
40.7 9.2 7.9 20
45.9 8.1 7.9 17.4
46.6 7.2 7.6 17.5
44.9 8.4 8 17.9
45.6 8.1 8.1 17.9
45 8.1 7.9 18.2
41 8.6 8.4 21.3
42.9 8.6 8.1 18.6
39.7 7.6 6.6 19.8
44.5 8.5 8.1 17.5
45.7 7.6 8 18.2
43.4 8.3 7.7 18.3
45.4 7.9 8.2 17.9
42.8 8 7.3 18.9
42.6 8 7.4 18.2
43.5 8.7 8.3 16.1
41.8 8 6.7 18.5
43.6 8.5 8.6 21.2
44.2 8.9 8.2 17.5
43.8 8.2 7.8 17.6
45.6 7.2 6.8 19.7
42.1 7.9 7.3 18.4
44.2 8.1 7.7 17.8
44.2 8.8 8.3 17.1
44.4 8.1 7.4 19.3
45.2 8.1 7.8 19.2
44.9 7.5 7.6 18.1
42.3 8.5 7.5 17.9
47.5 8.8 9 18.7
41.9 8.6 7.2 18.3
44.9 8.3 7.5 18.5
35.2 10.1 6.5 24.4
45.1 7.9 7.7 18.9
43.6 8.7 8 16.7
41.8 8.9 7.8 17.9
48.4 7.7 7.9 18.9
43.9 8 7.3 18.3
42.9 8.2 7.6 20
44.7 8.2 7.5 17.8
44.9 7.7 7.6 18.8
41 8.7 7.2 20
42.2 8.2 7.3 18.3
46.9 7.4 7.6 19
45 8 7.7 17.9
44.4 7.8 7.3 18.8
44.9 7.6 7.1 18.9
42.3 8 7.1 16.9
42.5 8.5 7.1 20.5
